"resp.id","ques","alt","chid","Duration","Rent","Type","Roommates","Commute","Bathroom","Parking","Choice"
7,17,"C",125,390,"1000","Apartment","3","20","Shared","Yes",0
7,18,"A",126,390,"600","Townhouse","1","5","Shared","Yes",1
7,18,"B",126,390,"800","House","2","5","Shared","No",0
7,18,"C",126,390,"1000","Apartment","1","45","Shared","No",0
8,1,"A",127,329,"1000","Townhouse","1","45","Shared","Yes",0
8,1,"B",127,329,"600","House","2","5","Shared","Yes",1
8,1,"C",127,329,"800","Townhouse","2","45","Private","No",0
8,2,"A",128,329,"800","House","2","45","Private","Yes",0
8,2,"B",128,329,"800","Apartment","2","20","Private","No",1
8,2,"C",128,329,"1000","House","1","20","Private","Yes",0
8,3,"A",129,329,"1000","House","1","5","Private","No",1
8,3,"B",129,329,"800","Apartment","2","5","Shared","No",0
8,3,"C",129,329,"1000","Townhouse","3","20","Private","Yes",0
8,4,"A",130,329,"600","House","3","45","Shared","Yes",0
8,4,"B",130,329,"600","Apartment","2","45","Shared","Yes",1
8,4,"C",130,329,"800","Townhouse","1","5","Private","No",0
8,5,"A",131,329,"600","Apartment","2","20","Private","No",0
8,5,"B",131,329,"1000","House","2","20","Private","No",0
8,5,"C",131,329,"600","Townhouse","1","5","Shared","No",1
8,6,"A",132,329,"1000","Apartment","2","5","Shared","Yes",1
8,6,"B",132,329,"600","House","1","20","Private","Yes",0
8,6,"C",132,329,"1000","House","3","45","Shared","No",0
8,7,"A",133,329,"600","Apartment","3","45","Shared","Yes",1
8,7,"B",133,329,"1000","House","1","45","Shared","No",0
8,7,"C",133,329,"1000","Apartment","2","20","Private","Yes",0
8,8,"A",134,329,"600","House","1","20","Private","Yes",0
8,8,"B",134,329,"800","House","3","45","Shared","No",1
8,8,"C",134,329,"600","Townhouse","3","20","Shared","Yes",0
8,9,"A",135,329,"800","House","3","45","Private","Yes",0
8,9,"B",135,329,"600","House","2","20","Private","Yes",0
8,9,"C",135,329,"1000","House","1","45","Shared","Yes",1
8,10,"A",136,329,"800","Townhouse","3","45","Shared","Yes",0
8,10,"B",136,329,"1000","House","2","20","Shared","Yes",0
8,10,"C",136,329,"1000","House","3","45","Shared","Yes",1
8,11,"A",137,329,"1000","Apartment","3","45","Private","No",0
8,11,"B",137,329,"1000","House","1","5","Shared","Yes",1
8,11,"C",137,329,"800","Apartment","2","45","Private","No",0
8,12,"A",138,329,"600","Apartment","3","5","Private","No",0
8,12,"B",138,329,"800","Townhouse","1","20","Private","Yes",0
8,12,"C",138,329,"600","Apartment","3","20","Private","Yes",1
8,13,"A",139,329,"1000","Townhouse","2","45","Shared","No",0
8,13,"B",139,329,"1000","House","3","5","Private","Yes",0
8,13,"C",139,329,"1000","House","3","20","Private","Yes",1
8,14,"A",140,329,"800","House","2","20","Shared","No",0
8,14,"B",140,329,"1000","Townhouse","3","20","Private","Yes",1
8,14,"C",140,329,"1000","House","1","5","Private","Yes",0
8,15,"A",141,329,"600","House","2","20","Shared","No",0
8,15,"B",141,329,"1000","House","2","45","Shared","Yes",0
8,15,"C",141,329,"800","Townhouse","3","45","Shared","No",1
8,16,"A",142,329,"800","House","3","20","Shared","No",1
8,16,"B",142,329,"1000","Townhouse","3","20","Shared","No",0
8,16,"C",142,329,"1000","House","3","45","Private","Yes",0
8,17,"A",143,329,"1000","Townhouse","3","45","Shared","Yes",0
8,17,"B",143,329,"600","House","2","45","Private","Yes",1
8,17,"C",143,329,"800","Townhouse","2","45","Shared","No",0
8,18,"A",144,329,"800","House","2","45","Shared","No",0
8,18,"B",144,329,"600","Apartment","3","20","Private","Yes",1
8,18,"C",144,329,"800","House","2","5","Private","No",0
9,1,"A",145,532,"600","Townhouse","1","5","Shared","No",0
9,1,"B",145,532,"600","Townhouse","1","5","Private","Yes",1
9,1,"C",145,532,"1000","House","2","5","Private","No",0
9,2,"A",146,532,"1000","Apartment","2","5","Shared","Yes",0
9,2,"B",146,532,"1000","Townhouse","1","45","Shared","Yes",0
9,2,"C",146,532,"600","House","1","5","Private","No",1
9,3,"A",147,532,"1000","Townhouse","2","20","Shared","No",1
9,3,"B",147,532,"800","Townhouse","2","5","Private","No",0
9,3,"C",147,532,"800","House","1","5","Private","Yes",0
